idx,HIP,RA_deg,Dec_deg,x,y,z,Vmag,Hpmag
6184,63653,195.68509608,45.38471004,-0.676189262,-0.189878454,0.711838644,5.9679,7.4900
6185,106583,323.80346624,78.62449750,0.159170443,-0.116480367,0.980355596,5.9679,7.4900
6186,64033,196.85123488,-59.86050970,-0.480546771,-0.145554634,-0.864805556,5.9682,5.9800
6187,83693,256.58412216,-37.22758997,-0.184741287,-0.774510625,-0.604982602,5.9682,5.9800
6188,85442,261.90646538,-29.72456670,-0.122264289,-0.859769154,-0.495831066,5.9682,5.9800
6189,50480,154.61768332,-41.66849002,-0.674893859,0.320207945,-0.664819638,5.9684,5.9700
6190,52316,160.35077855,-1.74149071,-0.941333938,0.336105431,-0.030390067,5.9685,6.2500
6191,101507,308.54873942,-13.72109093,0.605395753,-0.759759273,-0.237195763,5.9686,6.1100
6192,48527,148.45874341,-51.14671326,-0.534649185,0.328163227,-0.778754868,5.9687,5.9500
6193,77939,238.75151630,-19.38292565,-0.489348678,-0.806469785,-0.331880033,5.9687,5.9500
6194,49223,150.70588337,-62.15666677,-0.407328238,0.228526952,-0.884227990,5.9689,6.4100
6195,18339,58.81719951,-12.09910485,0.506268733,0.836515650,-0.209603287,5.9695,5.9900
6196,4572,14.62942551,66.35179335,0.388115414,0.101309371,0.916025566,5.9698,5.9700
6197,20997,67.54168167,-13.59237223,0.371311968,0.898274149,-0.235012714,5.9701,6.2200
6198,69792,214.26578905,-18.58569962,-0.783334398,-0.533669403,-0.318722747,5.9701,6.2200
6199,70762,217.06850052,36.19702782,-0.643910532,-0.486429457,0.590563806,5.9701,6.2200
6200,88125,270.00033842,-20.33954854,0.000005538,-0.937649238,-0.347582949,5.9701,6.2200
6201,90086,275.76220697,16.68799992,0.096171456,-0.953042622,0.287159906,5.9701,6.2200
6202,29711,93.87363793,-4.91471938,-0.067307861,0.994047186,-0.085672883,5.9703,5.9900
6203,81992,251.25078997,-28.50965735,-0.282449174,-0.832106127,-0.477306880,5.9703,5.9900
6204,54319,166.68345319,17.73736383,-0.926853563,0.219381547,0.304654248,5.9704,6.4000
6205,103371,314.14490781,44.92472189,0.493129131,-0.508072346,0.706177138,5.9705,5.9600
6206,16599,53.41274961,54.97485691,0.342092291,0.460841864,0.818900263,5.9706,5.9800
6207,89156,272.93800435,33.44705699,0.042767257,-0.833298725,0.551166214,5.9706,5.9800
6208,2583,8.20452929,28.28024062,0.871627398,0.125673761,0.473784534,5.9708,6.2600
6209,6595,21.17464288,-44.52857509,0.664768410,0.257508266,-0.701264896,5.9708,6.2600
6210,48341,147.80846702,-4.24334958,-0.843952087,0.531290834,-0.073992737,5.9714,6.0100
6211,50536,154.82028757,-12.52813173,-0.883429893,0.415328542,-0.216918941,5.9714,6.0100
6212,64790,199.18711944,-65.13825873,-0.397075277,-0.138176158,-0.907324955,5.9715,6.0600
6213,74929,229.67209230,-31.20934708,-0.553503849,-0.652025246,-0.518166544,5.9722,6.1800
6214,16339,52.65397530,-47.37512542,0.410805193,0.538361225,-0.735803157,5.9724,5.9800
6215,68498,210.33512183,8.89490635,-0.852706312,-0.498982776,0.154622555,5.9724,5.9800
6216,110712,336.46315746,-75.01568892,0.237043704,-0.103250829,-0.965996661,5.9727,6.1200
6217,37202,114.63557844,-38.78148688,-0.324947757,0.708584627,-0.626351963,5.9733,6.2000
6218,55412,170.22405955,67.10073389,-0.383461964,0.066069567,0.921190390,5.9733,6.2000
6219,77689,237.90998575,-14.13358425,-0.515169462,-0.821568536,-0.244183466,5.9733,6.2000
6220,100969,307.06996457,2.93716101,0.601997933,-0.796851857,0.051240681,5.9733,6.2000
6221,44367,135.52662667,-39.40216393,-0.551387104,0.541343134,-0.634759697,5.9735,6.2500
6222,79045,242.02065483,17.05438160,-0.448523077,-0.844283328,0.293279238,5.9735,6.2500
6223,18508,59.35992165,24.46193743,0.463896036,0.783154557,0.414088648,5.9740,6.1900
6224,9085,29.24993720,-51.76624400,0.539963051,0.302393061,-0.785492419,5.9741,6.1000
6225,20781,66.77489092,-46.94750508,0.269206545,0.627346503,-0.730728542,5.9741,6.1000
6226,41674,127.44013656,-46.33169280,-0.419766478,0.548235396,-0.723349192,5.9754,5.9800
6227,64437,198.10597026,80.47130920,-0.157344408,-0.051446227,0.986202830,5.9757,6.2500
6228,109624,333.10732259,-14.19395687,0.864628087,-0.438511930,-0.245205135,5.9759,6.0400
6229,18592,59.67875705,-57.10235981,0.274202914,0.468842915,-0.839642235,5.9762,6.0500
6230,26959,85.81048057,-33.42497522,0.060972915,0.832377638,-0.550844598,5.9763,6.8300
6231,49613,151.88888964,0.91832064,-0.881922225,0.471122408,0.016027033,5.9763,6.6700
6232,28180,89.30989030,-53.42569357,0.007176831,0.595821580,-0.803084764,5.9765,6.4800
6233,40932,125.30041080,-57.97322018,-0.306450005,0.432808283,-0.847800321,5.9767,5.9600
6234,4257,13.57330376,-8.74066162,0.960781113,0.231963602,-0.151962296,5.9772,6.1500
6235,13645,43.92198018,31.04309489,0.617125591,0.594329382,0.515682646,5.9773,6.8900
6236,78346,239.95845589,-64.85414844,-0.212728759,-0.367840811,-0.905229039,5.9773,6.8900
6237,37128,114.43758730,-38.01042528,-0.325955094,0.717312809,-0.615804848,5.9774,6.3800
6238,86713,265.77310913,44.08431988,-0.052944441,-0.716362895,0.695716241,5.9774,6.3800
6239,89006,272.48984222,-59.04018206,0.022348302,-0.513951149,-0.857528291,5.9774,6.3800
6240,16827,54.12559404,-78.32307327,0.118604379,0.163999707,-0.979304395,5.9779,6.2900
6241,51835,158.85316397,-76.30898564,-0.220747107,0.085386601,-0.971586251,5.9779,6.2900
6242,56784,174.63467622,33.62582922,-0.829023532,0.077859605,0.553766978,5.9779,6.2900
6243,102094,310.35109202,-25.99991147,0.581942271,-0.684963611,-0.438369758,5.9779,6.2900
6244,37939,116.63922002,-37.77256957,-0.354414156,0.706540305,-0.612528696,5.9779,6.3100
6245,42013,128.44488674,-9.99816517,-0.612319054,0.771312283,-0.173616640,5.9779,7.5000
6246,108090,328.49069466,6.86480440,0.846443285,-0.518890224,0.119526986,5.9783,6.1400
6247,28908,91.53556264,35.38774033,-0.021846639,0.814958958,0.579106745,5.9786,6.1200
6248,36236,111.92890727,-22.85919859,-0.344125480,0.854792593,-0.388467858,5.9789,5.9800
6249,41250,126.23835815,-42.76983374,-0.433952718,0.592089081,-0.679054901,5.9791,5.9700
6250,108975,331.15319610,-26.82235879,0.781673215,-0.430560380,-0.451225824,5.9791,5.9700
6251,84489,259.09000800,-35.75029750,-0.153603345,-0.796902388,-0.584253880,5.9791,6.0900
6252,24831,79.84868696,-27.36888386,0.156520030,0.874163167,-0.459717563,5.9800,5.9800
6253,69458,213.30523483,-26.61230943,-0.747215424,-0.490926525,-0.447951178,5.9801,6.2300
6254,98563,300.31378295,37.09899659,0.402574100,-0.688542714,0.603194020,5.9801,6.2300
6255,100672,306.17398884,1.36856327,0.590070894,-0.806998086,0.023883664,5.9804,6.4100
6256,72702,222.96377427,-18.35532496,-0.694552895,-0.646860533,-0.314909077,5.9808,6.2700
6257,90692,277.55956762,-5.72416925,0.130900881,-0.986365548,-0.099739488,5.9808,6.2700
6258,22840,73.71128430,0.46716657,0.280468348,0.959828644,0.008153505,5.9808,5.9800
6259,96840,295.27303453,13.81568165,0.414580725,-0.878121713,0.238799245,5.9808,5.9800
