_RA,_DE,HR,SpT,52,33-52,35-52,37-52,40-52,45-52,52-58,52-63,52-72,52-80,52-86,52-99,52-110
182.91299,-52.36846,4638,B3 V,3.950,-1.080,-1.000,-0.630,-0.230,-0.070,-0.110,-0.170,,,,,
183.78632,-58.74893,4656,B2 IV,2.777,-1.476,-1.376,-0.913,-0.328,-0.090,-0.162,-0.188,-0.148,-0.203,-0.272,-0.445,-0.467
183.85650,57.03262,4660,A3 V,3.340,0.156,0.133,0.144,0.107,0.033,0.038,0.070,0.051,0.098,0.113,0.112,0.083
183.95154,-17.54193,4662,B8 III,2.584,-0.573,-0.536,-0.429,-0.158,-0.035,-0.019,-0.035,-0.050,-0.069,-0.087,-0.151,-0.152
184.58677,-79.31224,4674,B5 Vn,4.240,-0.910,-0.880,-0.560,-0.200,-0.050,-0.050,-0.080,,,,,
184.60937,-64.00307,4679,B2.5 V,4.020,-1.150,-1.090,-0.710,-0.270,-0.060,-0.100,-0.170,,,,,
184.97647,-0.66679,4689,A2 V,3.904,0.122,0.090,0.060,0.006,0.009,0.038,0.057,0.000,0.016,0.005,0.029,0.086
185.08742,3.31257,4695,K1 III,5.266,2.192,1.873,1.922,1.575,0.519,0.579,0.913,1.194,1.460,1.590,1.801,2.024
185.17928,17.79287,4697,G8 III,4.972,1.613,1.364,1.468,1.320,0.481,0.460,0.766,1.010,1.246,1.352,1.522,1.706
185.34004,-60.40115,4700,K3/4 III,3.991,2.789,2.490,2.531,1.992,0.581,0.713,1.083,1.469,1.779,1.926,2.193,2.378
185.62630,25.84616,4707,A5 + G5 III,4.940,0.646,0.569,0.616,0.569,0.241,0.266,0.453,0.605,0.765,0.829,0.938,1.061
186.00623,51.56226,4716,G7 III,4.960,1.317,1.108,1.174,1.145,0.425,0.409,0.670,0.867,1.072,1.155,1.300,1.454
186.64946,-63.09905,4730,B0.5 IV + B1 V,0.733,-1.622,-1.484,-1.004,-0.339,-0.088,-0.101,-0.176,-0.206,-0.268,-0.329,-0.481,-0.530
186.63233,-51.45064,4732,B5 Vn,4.790,-1.030,-0.980,-0.650,-0.250,-0.050,-0.090,-0.130,,,,,
186.73447,28.26842,4737,K1 III-IV,4.616,2.065,1.883,1.943,1.579,0.497,0.543,0.836,1.086,1.333,1.432,1.615,1.785
187.00993,-50.23064,4743,B2 V,3.870,-1.310,-1.220,-0.800,-0.290,-0.070,-0.100,-0.170,,,,,
187.46606,-16.51543,4757,B9 V,2.955,-0.182,-0.159,-0.118,-0.061,-0.017,-0.019,-0.021,-0.042,-0.060,-0.083,-0.083,-0.103
187.79150,-57.11321,4763,M3 II,2.050,3.571,2.996,2.876,2.258,0.796,0.634,1.266,2.200,2.831,3.067,3.509,3.800
188.11672,-72.13299,4773,B5 V,3.843,-1.030,-0.982,-0.636,-0.242,-0.065,-0.072,-0.120,-0.122,-0.164,-0.208,-0.315,-0.326
188.01761,-16.19600,4775,F0 IV,4.380,0.163,0.117,0.263,0.425,0.196,0.192,0.300,0.441,0.537,0.542,0.576,0.667
188.43560,41.35748,4785,G0 V,4.409,0.327,0.248,0.479,0.659,0.288,0.289,0.491,0.649,0.815,0.861,0.923,1.011
