_RA,_DE,HR,SpT,52,33-52,35-52,37-52,40-52,45-52,52-58,52-63,52-72,52-80,52-86,52-99,52-110
222.67636,74.15550,5563,K4 III,2.479,3.088,2.676,2.756,2.156,0.626,0.739,1.150,1.525,1.873,2.018,2.269,2.460
224.29583,-4.34646,5570,F0 IV,4.550,0.237,0.173,0.232,0.348,0.160,0.168,0.285,0.367,0.453,0.463,0.491,0.575
224.63302,-43.13396,5571,B2 III,2.713,-1.453,-1.363,-0.905,-0.345,-0.074,-0.074,-0.122,-0.171,-0.233,-0.285,-0.445,-0.459
224.79035,-42.10420,5576,B2 IV,3.160,-1.343,-1.244,-0.813,-0.289,-0.078,-0.072,-0.121,-0.164,-0.229,-0.277,-0.426,-0.451
225.24313,-8.51895,5586,B9.5 V,4.941,-0.136,-0.133,-0.123,-0.025,0.018,0.030,0.056,0.082,0.106,0.093,0.359,0.023
224.39586,65.93246,5589,M5 III,4.982,3.628,2.872,2.657,2.076,0.941,0.499,1.272,2.470,3.251,3.547,4.096,4.407
225.74698,-32.64329,5595,B3 V,5.480,-1.040,-0.920,-0.590,-0.190,-0.030,-0.050,-0.070,,,,,
225.52712,25.00814,5600,K4 III,5.221,3.183,2.806,2.829,2.224,0.629,0.785,1.210,1.663,2.027,2.175,2.438,2.663
225.72516,2.09130,5601,K0 III,4.589,1.699,1.463,1.571,1.387,0.492,0.489,0.790,1.038,1.302,1.412,1.583,1.738
225.48651,40.39057,5602,G8 III,3.725,1.492,1.302,1.329,1.244,0.454,0.433,0.715,0.930,1.162,1.258,1.388,1.503
226.01757,-25.28196,5603,M4 III,3.681,3.775,3.185,3.022,2.390,0.798,0.730,1.310,2.177,2.744,2.998,3.399,3.670
226.11143,26.94765,5616,K2 III,4.821,2.415,2.113,2.176,1.773,0.559,0.615,0.977,1.223,1.509,1.640,1.850,2.079
227.16332,-42.86792,5625,B7 V,6.060,-0.820,-0.740,-0.490,-0.200,-0.050,-0.030,-0.040,,,,,
227.21090,-45.27986,5626,B3 V,4.110,-1.190,-1.120,-0.720,-0.250,-0.060,-0.050,-0.090,,,,,
226.82528,24.86919,5634,F5 V,5.012,0.158,0.105,0.282,0.497,0.227,0.223,0.388,0.525,0.642,0.682,0.708,0.733
228.07123,-52.09925,5649,G8 III,3.616,1.340,1.122,1.259,1.164,0.406,0.449,0.707,0.943,1.150,1.247,1.376,1.562
228.20661,-44.50041,5651,B3 IV,4.850,-1.220,-1.120,-0.730,-0.250,-0.060,-0.060,-0.090,,,,,
228.05538,-19.79171,5652,B9 IV(Si),4.564,-0.590,-0.556,-0.387,-0.126,-0.027,0.008,-0.007,-0.024,-0.048,-0.056,-0.110,-0.130
229.72742,-68.67955,5671,A0 V,2.938,0.136,0.105,-0.102,-0.024,0.044,0.048,0.056,0.096,0.100,0.117,0.132,0.160
228.87568,33.31483,5681,G8 III,3.725,1.429,1.213,1.336,1.222,0.466,0.438,0.727,0.974,1.224,1.329,1.476,1.618
229.25172,-9.38291,5685,B8 V,2.605,-0.570,-0.524,-0.463,-0.163,-0.034,-0.026,-0.044,-0.069,-0.086,-0.091,-0.148,-0.163
230.34301,-40.64752,5695,B1.5 IV,3.237,-1.485,-1.361,-0.914,-0.313,-0.098,-0.075,-0.122,-0.159,-0.229,-0.283,-0.439,-0.455
230.45154,-36.26138,5705,K5 III,3.993,3.212,2.848,2.817,2.210,0.640,0.794,1.244,1.711,2.073,2.230,2.504,2.762
230.67028,-44.68962,5708,B2 IV-V,3.366,-1.286,-1.180,-0.762,-0.264,-0.064,-0.075,-0.115,-0.200,-0.238,-0.293,-0.432,-0.458
230.78896,-36.85849,5712,B4 V,4.590,-1.110,-1.020,-0.660,-0.240,-0.060,-0.050,-0.080,,,,,
231.12262,37.37715,5733,F0 IV,4.391,0.261,0.192,0.255,0.349,0.151,0.164,0.273,0.362,0.434,0.456,0.492,0.510
230.18215,71.83402,5735,A3 II-III,3.065,0.407,0.335,-0.062,0.026,0.043,0.051,0.102,0.138,0.177,0.227,0.268,0.200
231.82554,-36.76756,5736,B5 V,5.470,-0.960,-0.880,-0.550,-0.220,-0.040,-0.030,-0.070,,,,,
231.23239,58.96606,5744,K2 III,3.613,2.191,1.970,2.004,1.617,0.501,0.594,0.912,1.177,1.430,1.549,1.722,1.888
231.95721,29.10570,5747,F0 p,3.738,0.289,0.226,0.327,0.358,0.118,0.145,0.208,0.181,0.227,0.218,0.241,0.326
232.73233,40.83305,5763,K5 III,5.480,3.399,2.876,2.912,2.350,0.717,0.796,1.250,1.747,2.156,2.327,2.633,2.864
233.23009,-16.85285,5764,B2 Vnn,5.512,-1.248,-1.134,-0.738,-0.208,-0.038,-0.040,-0.046,-0.118,-0.173,-0.192,-0.302,-0.381
232.94576,40.89934,5774,A5 V,5.024,0.315,0.247,0.113,0.083,0.039,0.056,0.082,0.118,0.155,0.164,0.217,0.219
233.78520,-41.16676,5776,B2 IV,2.796,-1.406,-1.290,-0.855,-0.298,-0.066,-0.083,-0.113,-0.156,-0.225,-0.278,-0.420,-0.403
233.54459,-10.06453,5777,K1 IV,4.864,1.617,1.414,1.561,1.331,0.447,0.494,0.790,1.004,1.216,1.321,1.485,1.720
233.23243,31.35913,5778,B6 V nn,4.144,-0.887,-0.826,-0.552,-0.182,-0.027,-0.041,-0.066,-0.135,-0.169,-0.205,-0.248,-0.227
233.61048,-9.18342,5780,B7 IV,5.145,-0.804,-0.730,-0.469,-0.134,-0.026,-0.020,-0.046,-0.056,-0.077,-0.126,-0.166,-0.200
233.97187,-44.95839,5781,B3 IVp,4.566,-1.201,-1.101,-0.701,-0.245,-0.058,-0.066,-0.109,-0.193,-0.241,-0.290,-0.421,-0.450
233.88158,-14.78954,5787,G8 III-IV,4.140,1.528,1.300,1.441,1.303,0.469,0.469,0.772,1.025,1.255,1.365,1.523,1.718
233.70059,10.53862,5788,F0 IV,3.840,0.302,0.246,0.250,0.286,0.111,0.135,0.211,0.244,0.296,0.323,0.358,0.449
233.67195,26.71469,5793,A0 V,2.223,-0.060,-0.046,-0.058,-0.041,-0.014,0.000,-0.010,-0.011,-0.012,-0.016,-0.008,-0.026
234.25604,-28.13508,5794,K5 III,3.923,2.752,2.403,2.472,1.931,0.578,0.703,1.072,1.428,1.741,1.884,2.125,2.353
234.36875,-26.27986,5801,B8 V,6.220,-0.730,-0.720,-0.440,-0.070,0.020,0.010,0.020,,,,,
234.66404,-29.77775,5812,B2.5 V,3.620,-1.200,-1.114,-0.710,-0.241,-0.050,-0.075,-0.133,-0.153,-0.201,-0.236,-0.362,-0.412
235.29740,-44.66121,5825,F5 IV-V,4.733,0.122,0.089,0.239,0.433,0.198,0.202,0.342,,,,,
235.48666,-19.67883,5838,K5 III,5.186,3.399,2.945,2.949,2.306,0.660,0.800,1.289,1.790,2.199,2.378,2.689,2.976
235.67093,-34.71041,5839,B5 V,4.740,-0.980,-0.900,-0.560,-0.200,-0.050,-0.030,-0.060,,,,,
235.38773,19.67040,5842,A1 V,4.546,0.098,0.092,0.108,0.060,0.020,0.034,0.043,0.052,0.063,0.060,0.071,0.098
235.68569,26.29563,5849,A0 IV,3.840,-0.033,-0.032,-0.011,-0.002,0.000,0.026,0.020,-0.016,-0.012,-0.033,-0.022,-0.017
236.06698,6.42563,5854,K2 III,2.930,2.210,2.013,2.054,1.639,0.501,0.572,0.879,1.142,1.392,1.510,1.691,1.873
236.34785,5.44731,5859,A0 V,5.580,0.092,0.057,0.038,0.017,0.014,0.018,0.042,0.006,0.017,0.025,0.043,0.014
236.54689,15.42183,5867,A2 IV,3.696,0.192,0.171,0.101,0.084,0.024,0.044,0.065,0.031,0.059,0.067,0.104,0.124
236.61089,7.35307,5868,G0 V,4.551,0.423,0.322,0.536,0.686,0.292,0.299,0.506,0.619,0.783,0.831,0.900,1.009
237.52952,-53.20977,5869,B8 V,5.920,-0.440,-0.360,-0.220,-0.110,-0.020,0.030,0.070,,,,,
237.18490,18.14156,5879,M1 III,4.521,3.535,3.017,3.014,2.389,0.702,0.801,1.289,1.851,2.296,2.493,2.817,3.055
237.40503,-3.43020,5881,A0 V,3.561,-0.185,-0.164,-0.132,-0.056,-0.007,-0.001,0.007,-0.035,-0.032,-0.035,-0.058,-0.081
237.73974,-33.62717,5883,A0 III-IV,4.010,-0.250,-0.200,-0.150,-0.070,-0.020,-0.020,-0.030,,,,,
237.74477,-25.75130,5885,B1.5 Vn,4.640,-1.090,-1.000,-0.540,-0.100,-0.010,0.010,0.000,,,,,
237.39853,26.06839,5889,G5 III-IV,4.820,0.900,0.724,0.889,0.965,0.380,0.390,0.627,0.807,1.005,1.073,1.182,1.313
237.70403,4.47773,5892,A2 m,3.760,0.202,0.154,0.216,0.195,0.042,0.081,0.123,0.100,0.135,0.135,0.164,0.186
238.78568,-63.43073,5897,F2 IV,2.889,0.220,0.154,0.219,0.317,0.143,0.147,0.238,0.366,0.451,0.476,0.490,0.638
237.81629,20.97792,5899,K5 III,5.167,3.310,2.875,2.916,2.268,0.644,0.790,1.224,1.689,2.075,2.245,2.534,2.739
237.80805,35.65738,5901,K0 III-IV,5.010,1.634,1.420,1.538,1.323,0.436,0.507,0.786,1.026,1.263,1.366,1.510,1.649
238.33356,-20.16706,5902,B3 V,5.035,-0.915,-0.843,-0.488,-0.073,-0.001,0.030,0.045,0.040,0.054,0.040,0.007,0.002
236.01466,77.79449,5903,A3 V,4.268,0.228,0.172,0.027,0.031,0.042,0.002,0.035,0.073,0.107,0.113,0.131,0.136
238.40299,-25.32714,5904,B2.5 Vn,4.570,-1.040,-0.950,-0.580,-0.120,0.010,-0.020,-0.050,,,,,
238.47465,-24.53316,5906,B6 V,5.360,-0.670,-0.640,-0.360,-0.040,0.030,0.020,0.020,,,,,
238.48277,-23.97810,5907,B2 Vnn,5.370,-0.970,-0.890,-0.540,-0.080,0.030,0.000,0.000,,,,,
238.45641,-16.72929,5908,K0 III-IV,4.367,1.632,1.403,1.517,1.333,0.481,0.494,0.793,1.050,1.272,1.379,1.537,1.720
238.62546,-27.33864,5910,B7 V,6.120,-0.750,-0.670,-0.440,-0.100,0.000,-0.050,-0.070,,,,,
238.66471,-25.24374,5912,B8 IIIp,5.860,-0.960,-0.910,-0.550,-0.130,-0.020,0.010,-0.010,,,,,
238.16892,42.45152,5914,F9 V,4.718,0.282,0.182,0.404,0.631,0.295,0.288,0.483,0.654,0.813,0.859,0.931,1.048
238.75152,-19.38292,5915,B5 V,5.943,-0.828,-0.765,-0.439,-0.054,0.019,0.026,0.035,0.096,0.077,0.079,0.039,0.177
239.22115,-29.21407,5928,B2 IV-V,3.792,-1.332,-1.221,-0.786,-0.254,-0.046,-0.104,-0.138,-0.183,-0.245,-0.291,-0.431,-0.516
239.11326,15.66162,5933,F6 V,3.965,0.192,0.112,0.295,0.519,0.231,0.259,0.432,0.593,0.729,0.769,0.803,0.857
239.41860,-20.98308,5934,B3 V,5.840,-0.730,-0.640,-0.340,0.010,0.050,0.000,0.030,,,,,
239.54737,-14.27936,5941,B5 IIIp,4.946,-0.394,-0.289,-0.496,-0.119,0.024,-0.032,0.014,-0.053,-0.044,-0.003,-0.038,-0.053
239.64528,-24.83149,5942,B5 IV,5.510,-1.050,-0.920,-0.600,-0.140,-0.010,-0.020,-0.030,,,,,
239.71297,-26.11411,5944,B1 V + B2,2.880,-1.457,-1.346,-0.852,-0.247,-0.049,-0.072,-0.106,-0.116,-0.164,-0.221,-0.373,-0.399
239.39688,26.87788,5947,K3 III,4.458,2.317,2.027,2.112,1.710,0.543,0.597,0.947,1.248,1.519,1.650,1.860,2.040
240.03053,-38.39671,5948,B2.5 IV,3.409,-1.439,-1.312,-0.854,-0.294,-0.067,-0.076,-0.119,-0.230,-0.280,-0.327,-0.494,-0.473
240.08336,-22.62171,5953,B0.5 IV,2.306,-1.446,-1.336,-0.828,-0.197,-0.010,-0.030,-0.044,-0.027,-0.064,-0.097,-0.218,-0.232
239.44767,54.74976,5960,F0 IV,5.048,0.230,0.181,0.233,0.309,0.132,0.138,0.221,0.331,0.399,0.425,0.442,0.449
240.85079,-38.60254,5967,B6 IV,4.950,-1.020,-0.900,-0.580,-0.190,-0.040,-0.020,-0.040,,,,,
240.36069,29.85106,5971,A0 II-IIIp,4.975,-0.334,-0.290,-0.247,-0.091,-0.014,-0.008,-0.028,-0.038,-0.029,-0.044,-0.077,-0.136
240.57372,22.80445,5972,A3 V,4.847,0.131,0.114,0.134,0.088,0.027,0.039,0.053,0.049,0.072,0.061,0.083,0.068
241.09228,-11.37305,5977,F5 IV,4.227,0.294,0.231,0.329,0.525,0.237,0.230,0.358,0.508,0.638,0.659,0.607,0.829
240.69957,46.03670,5982,B9 III.,4.713,-0.537,-0.508,-0.397,-0.152,-0.024,-0.017,-0.039,-0.084,-0.098,-0.114,-0.165,-0.201
241.35930,-19.80545,5984,B0.5 V,2.523,-1.303,-1.198,-0.750,-0.143,0.018,-0.021,-0.011,-0.064,-0.070,-0.107,-0.197,-0.201
240.47228,58.56525,5986,F8 IV-V,4.131,0.398,0.303,0.439,0.604,0.260,0.262,0.436,0.566,0.713,0.755,0.809,0.857
241.64811,-36.80230,5987,B2.5 Vn,4.300,-1.210,-1.090,-0.740,-0.260,-0.060,-0.040,-0.070,,,,,
241.52657,-23.60631,5988,B8 p,5.880,-0.940,-0.850,-0.530,-0.140,-0.020,-0.020,-0.020,,,,,
241.70178,-20.66919,5993,B1 V,3.960,-1.248,-1.160,-0.695,-0.107,0.034,0.000,0.010,-0.005,-0.007,-0.031,-0.107,-0.070
241.85137,-20.86876,5997,gG2,4.496,1.184,0.970,1.050,1.055,0.413,0.389,0.637,0.820,1.027,1.098,1.223,1.377
241.96620,-24.46235,5998,B7 IIIp,6.290,-0.800,-0.720,-0.450,-0.090,0.010,-0.020,-0.030,,,,,
242.18217,-23.68542,6003,B9 V,5.850,-0.490,-0.440,-0.230,0.000,0.040,0.000,0.020,,,,,
242.24292,36.49094,6018,K0 III,4.972,1.619,1.443,1.545,1.334,0.443,0.499,0.803,1.031,1.257,1.345,1.510,1.691
242.19241,44.93491,6023,B9 p,4.249,-0.417,-0.392,-0.284,-0.097,-0.018,-0.011,-0.012,-0.023,-0.026,-0.041,-0.065,-0.135
242.99890,-19.46070,6027,B2 V,4.010,-0.979,-0.916,-0.528,-0.021,0.059,0.057,0.101,0.135,0.171,0.179,0.175,0.210
243.07585,-27.92637,6028,B2 V,4.530,-1.230,-1.120,-0.720,-0.210,-0.030,-0.080,-0.100,,,,,
243.85946,-63.68568,6030,G2 II,4.066,1.825,1.577,1.619,1.502,0.530,0.486,0.788,1.042,1.265,1.396,1.559,1.733
242.99995,-10.06424,6031,A2 V,4.958,0.170,0.150,0.157,0.095,0.030,0.061,0.080,0.137,0.142,0.153,0.152,0.262
243.43958,-24.42209,6042,B7 IV,6.410,-0.690,-0.620,-0.350,0.000,0.040,0.040,0.100,,,,,
243.72263,-25.47697,6054,B8 IV,6.070,-0.570,-0.510,-0.290,0.010,0.050,0.040,0.080,,,,,
243.58641,-3.69432,6056,M0.5 III,3.142,3.499,2.992,2.993,2.353,0.693,0.782,1.243,1.868,2.313,2.515,2.823,3.055
244.24486,-21.30413,6066,B9 V,6.610,-0.260,-0.240,-0.120,-0.010,0.030,0.030,0.050,,,,,
244.58037,-4.69251,6075,G9 III,3.463,1.494,1.289,1.384,1.258,0.455,0.456,0.739,0.992,1.221,1.329,1.474,1.641
245.15909,-24.16932,6081,A5 II,4.750,1.950,1.710,0.990,0.850,0.460,0.460,0.830,,,,,
245.61665,-49.57235,6083,B6 IV,5.420,-0.680,-0.590,-0.410,-0.100,0.010,0.010,0.030,,,,,
245.29715,-25.59279,6084,B1 III,2.928,-0.987,-0.916,-0.468,0.086,0.116,0.104,0.210,0.295,0.365,0.388,0.385,0.439
244.93515,46.31336,6092,B5 IV,3.895,-0.973,-0.890,-0.597,-0.209,-0.053,-0.047,-0.073,-0.135,-0.162,-0.203,-0.286,-0.322
245.51811,1.02904,6093,F0 V,4.909,0.216,0.192,0.255,0.376,0.169,0.192,0.313,0.419,0.507,0.535,0.567,0.632
245.48006,19.15313,6095,A9 III,3.835,0.472,0.404,0.320,0.301,0.118,0.161,0.250,0.373,0.453,0.477,0.551,0.557
248.36285,-78.89715,6102,K0 IV,4.095,1.348,1.130,1.256,1.144,0.393,0.450,0.714,0.960,1.162,1.253,1.386,1.539
245.52427,30.89200,6103,K0 III,5.085,1.576,1.405,1.459,1.279,0.436,0.468,0.734,0.977,1.188,1.281,1.427,1.573
246.02577,-20.03733,6104,K0 III,4.729,1.591,1.409,1.526,1.335,0.465,0.485,0.771,0.929,1.146,1.252,1.404,1.664
246.35398,14.03327,6117,A1 p,4.626,-0.027,-0.046,-0.049,-0.033,-0.021,0.039,0.059,0.033,0.083,0.121,0.046,-0.038
246.75598,-18.45625,6118,B2 Ve,4.588,-0.951,-0.961,-0.429,0.161,0.193,0.150,0.370,0.422,0.586,0.560,0.542,0.622
246.95078,-8.37173,6129,A3 m,4.672,0.189,0.148,0.218,0.211,0.076,0.101,0.141,0.207,0.255,0.259,0.277,0.341
245.99786,61.51421,6132,G8 III,2.948,1.385,1.165,1.265,1.170,0.430,0.424,0.705,0.855,1.085,1.198,1.350,1.436
247.35192,-26.43200,6134,M1.5 Iab,1.461,2.529,2.456,2.543,2.407,0.933,0.894,1.468,2.259,2.808,3.059,3.535,3.852
247.55198,-25.11522,6141,B2 V,4.770,-1.200,-1.080,-0.690,-0.190,-0.020,-0.030,-0.050,,,,,
247.84555,-34.70437,6143,B2 III,4.330,-1.340,-1.230,-0.800,-0.240,-0.060,-0.030,-0.050,,,,,
247.16062,41.88168,6146,M6-III,5.304,3.787,2.702,2.179,1.570,1.185,0.477,1.536,3.125,4.098,4.487,5.381,5.726
247.78486,-16.61273,6147,G8 III,4.466,1.420,1.257,1.321,1.207,0.435,0.418,0.682,0.831,1.025,1.117,1.244,1.450
247.55500,21.48961,6148,G8 III,2.996,1.388,1.217,1.303,1.212,0.449,0.417,0.684,0.882,1.089,1.190,1.340,1.467
247.72843,1.98392,6149,A1 V,3.821,0.030,0.021,0.040,0.029,0.011,0.027,0.041,0.052,0.060,0.061,0.072,0.062
248.15122,11.48804,6159,K5 III,5.252,3.216,2.761,2.809,2.175,0.612,0.778,1.214,1.640,2.011,2.180,2.459,2.708
246.99589,68.76814,6161,B9 IV,4.964,-0.147,-0.133,-0.199,-0.090,-0.023,-0.003,-0.015,-0.059,-0.049,-0.054,-0.040,-0.135
248.97064,-28.21602,6165,B0 V,2.792,-1.630,-1.524,-0.962,-0.333,-0.032,-0.064,-0.133,-0.236,-0.302,-0.344,-0.498,-0.501
248.52576,42.43704,6168,B9 V,4.225,-0.061,-0.068,-0.158,-0.045,0.010,0.008,0.014,0.000,0.003,0.007,0.005,-0.067
249.60955,-43.39842,6174,B3 IV,5.900,-0.950,-0.850,-0.520,-0.090,0.010,0.030,0.050,,,,,
249.28975,-10.56709,6175,O9.5 V,2.587,-1.247,-1.177,-0.698,-0.060,0.063,0.029,0.080,0.060,0.087,0.061,-0.020,-0.026
250.32150,31.60272,6212,G0 IV,2.941,0.549,0.449,0.630,0.761,0.287,0.343,0.545,0.703,0.862,0.924,1.000,1.090
252.16623,-69.02771,6217,K4 III,2.287,2.864,2.546,2.543,2.093,0.648,0.698,1.058,1.416,1.713,1.857,2.098,2.353
250.72402,38.92225,6220,G7 III-IV,3.725,1.268,1.096,1.222,1.151,0.426,0.418,0.702,0.907,1.116,1.210,1.351,1.482
252.44649,-59.04138,6229,K5 III,4.199,3.393,2.953,2.920,2.296,0.644,0.828,1.247,1.811,2.203,2.364,2.650,2.873
251.32423,56.78185,6237,F2 V,4.997,0.162,0.099,0.222,0.407,0.202,0.196,0.338,0.440,0.548,0.585,0.623,0.609
252.54088,-34.29323,6241,K2 III-IV,2.582,2.146,1.846,1.991,1.545,0.513,0.576,0.862,1.083,1.346,1.465,1.666,1.885
252.45840,-10.78299,6243,F5 IV-V,4.781,0.371,0.276,0.377,0.552,0.234,0.243,0.410,0.544,0.657,0.694,0.761,0.881
252.89051,-41.23054,6245,O8 Iaf,5.345,-1.240,-1.175,-0.652,0.006,0.045,0.124,0.206,0.279,0.320,0.329,0.294,0.360
252.96763,-38.04738,6247,B1.5 IV,3.006,-1.438,-1.323,-0.836,-0.295,-0.090,-0.030,-0.065,-0.090,-0.159,-0.207,-0.338,-0.338
253.08394,-38.01753,6252,B2 IV,3.564,-1.424,-1.283,-0.820,-0.260,-0.065,-0.040,-0.066,-0.150,-0.214,-0.290,-0.415,-0.510
252.30924,45.98332,6254,A2 p,4.875,0.094,0.064,0.121,0.103,0.015,0.062,0.093,0.065,0.085,0.081,0.083,0.088
253.64585,-42.36132,6271,K5 III,4.025,2.832,2.546,2.572,2.004,0.549,0.747,1.102,1.508,1.812,1.948,2.177,2.420
253.50196,10.16536,6281,B8 IV,4.374,-0.564,-0.512,-0.368,-0.149,-0.027,-0.025,-0.045,-0.067,-0.094,-0.115,-0.145,-0.228
254.65505,-55.99014,6285,K5 III,3.557,3.389,3.019,2.960,2.398,0.707,0.825,1.253,1.698,2.061,2.223,2.549,2.785
254.41707,9.37503,6299,K2 III,3.494,2.101,1.913,1.970,1.588,0.496,0.564,0.882,1.167,1.400,1.520,1.688,1.842
254.00704,65.13480,6315,F6 V,5.015,0.176,0.099,0.317,0.549,0.255,0.257,0.433,0.462,0.697,0.708,0.796,0.844
256.10300,-57.71217,6320,B5 V,5.780,-0.930,-0.790,-0.500,-0.150,-0.030,0.040,0.050,,,,,
251.49267,82.03726,6322,G5 III,4.413,1.219,1.029,1.133,1.135,0.440,0.414,0.686,0.902,1.110,1.201,1.325,1.441
255.07239,30.92640,6324,B9.5 V,3.938,-0.210,-0.181,-0.111,-0.044,-0.012,0.014,0.016,0.010,0.007,-0.009,-0.021,-0.025
255.78280,14.09195,6337,M3 III,5.398,3.589,3.040,2.970,2.345,0.740,0.732,1.282,2.102,2.658,2.875,3.251,3.527
256.34454,12.74082,6355,A3 IV,4.940,0.188,0.163,0.198,0.153,0.049,0.067,0.110,0.117,0.155,0.150,0.177,0.167
257.59453,-15.72491,6378,A2.5 V,2.466,0.182,0.169,0.129,0.071,0.051,0.042,0.061,0.051,0.070,0.063,0.070,0.091
258.03832,-43.23919,6380,F0 IVn,3.438,0.463,0.290,0.355,0.435,0.227,0.230,0.334,0.477,0.573,0.612,0.663,0.750
257.19665,65.71468,6396,B6 III,3.179,-0.702,-0.666,-0.519,-0.180,-0.050,-0.021,-0.026,-0.067,-0.079,-0.097,-0.154,-0.199
258.66189,14.39037,6406,M5 II + G5 III,3.383,2.646,2.167,1.951,1.548,0.987,0.484,1.398,2.796,3.695,4.067,4.807,5.194
258.75796,24.83921,6410,A3 IV,3.165,0.149,0.109,0.098,0.079,0.035,0.068,0.093,0.135,0.162,0.164,0.199,0.158
259.15286,-0.44532,6415,K2 III,5.036,2.043,1.845,1.907,1.566,0.496,0.577,0.882,1.169,1.403,1.524,1.706,1.872
258.76181,36.80916,6418,K3 II,3.539,2.968,2.609,2.631,2.090,0.625,0.710,1.100,1.424,1.730,1.882,2.123,2.343
259.58546,-32.55311,6422,B6 IVe,6.520,-0.450,-0.350,-0.270,0.080,0.110,0.220,0.240,,,,,
259.33153,33.10010,6431,B1.5 Vp,4.969,-1.143,-1.050,-0.683,-0.214,-0.045,-0.076,-0.090,-0.180,-0.211,-0.259,-0.360,-0.368
259.41773,37.29150,6436,A2 V,4.600,0.032,0.046,0.027,0.026,0.009,0.032,0.043,0.051,0.050,0.053,0.063,0.059
260.20692,-12.84688,6446,A1 V,4.348,0.084,0.095,0.050,0.018,0.019,0.027,0.025,0.039,0.049,-0.002,0.038,0.057
260.50241,-24.99955,6453,B2 IV,3.234,-1.364,-1.279,-0.814,-0.286,-0.038,-0.056,-0.140,-0.173,-0.213,-0.227,-0.423,-0.392
261.32495,-55.52989,6461,K3 Ib,3.206,3.274,2.953,2.878,2.146,0.694,0.718,1.085,1.427,1.717,1.863,2.128,2.343
261.34858,-56.37773,6462,B1 Ib,3.321,-1.479,-1.388,-0.873,-0.230,-0.020,-0.028,-0.043,-0.083,-0.106,-0.150,-0.299,-0.314
260.91966,37.14679,6484,A0 p/A0 IV,4.178,-0.007,-0.029,-0.117,-0.056,-0.005,0.014,0.028,0.024,0.032,0.027,0.037,0.030
261.65784,-5.08660,6493,F3 V,4.601,0.195,0.122,0.250,0.419,0.215,0.188,0.327,0.426,0.507,0.559,0.595,0.717
261.62867,4.14036,6498,K3 II,4.724,2.980,2.660,2.646,2.168,0.708,0.725,1.137,1.495,1.812,1.985,2.253,2.477
262.77464,-60.68385,6500,B7 Vn,3.844,-0.760,-0.746,-0.634,-0.386,-0.273,0.217,0.199,0.167,0.147,0.145,0.085,0.093
262.69099,-37.29581,6508,B2 IV,2.674,-1.372,-1.296,-0.806,-0.312,-0.060,-0.062,-0.123,-0.214,-0.264,-0.318,-0.461,-0.536
262.96038,-49.87614,6510,B2 Vne,2.858,-1.305,-1.256,-0.736,-0.213,-0.047,0.002,0.084,0.095,0.145,0.053,-0.097,0.007
262.68463,26.11064,6526,K4 III,4.797,2.965,2.606,2.659,2.093,0.617,0.712,1.110,1.455,1.758,1.908,2.157,2.377
263.40217,-37.10382,6527,B1.5 IV,1.599,-1.405,-1.346,-0.848,-0.320,-0.047,-0.078,-0.134,-0.235,-0.289,-0.350,-0.491,-0.497
262.60817,52.30139,6536,G2 II,3.029,1.403,1.186,1.220,1.228,0.474,0.455,0.734,0.931,1.170,1.241,1.386,1.521
264.32971,-42.99783,6553,F0 Ib,1.961,0.721,0.562,0.335,0.415,0.164,0.262,0.401,0.483,0.586,0.654,0.719,0.817
263.04404,55.18424,6554,A4 m,4.965,0.199,0.155,0.223,0.288,0.126,0.124,0.219,0.286,0.350,0.379,0.413,0.389
263.06677,55.17296,6555,A4 m,4.946,0.263,0.218,0.286,0.353,0.140,0.139,0.234,0.300,0.371,0.396,0.415,0.447
263.73362,12.56004,6556,A5 III,2.129,0.278,0.225,0.203,0.188,0.071,0.081,0.130,0.163,0.209,0.225,0.264,0.276
264.39667,-15.39855,6561,F0 IV,3.605,0.338,0.273,0.262,0.310,0.114,0.153,0.220,0.335,0.397,0.414,0.446,0.475
264.46130,-8.11877,6567,B8 V,4.656,-0.179,-0.171,-0.172,0.082,0.098,0.087,0.162,0.188,0.246,0.286,0.341,0.395
265.62198,-39.02998,6580,B1.5 III,2.385,-1.422,-1.359,-0.877,-0.323,-0.060,-0.063,-0.134,-0.250,-0.291,-0.341,-0.482,-0.482
265.35364,-12.87531,6581,A2 V,4.266,0.203,0.187,0.149,0.094,0.044,0.038,0.064,0.104,0.115,0.108,0.125,0.159
266.43328,-64.72387,6582,K1 III,3.864,2.190,1.917,1.989,1.666,0.546,0.561,0.875,1.148,1.388,1.518,1.703,1.871
264.86619,46.00633,6588,B3 V,3.792,-1.173,-1.066,-0.723,-0.247,-0.055,-0.066,-0.092,-0.156,-0.189,-0.225,-0.328,-0.392
264.23789,68.75797,6596,F5 V,4.890,0.187,0.126,0.301,0.493,0.229,0.227,0.378,0.538,0.649,0.668,0.719,0.761
265.86814,4.56730,6603,K2 III,3.061,2.192,1.999,2.045,1.632,0.500,0.573,0.896,1.148,1.397,1.512,1.693,1.871
266.89617,-40.12700,6615,F2 Ia,3.135,1.450,1.064,0.542,0.540,0.307,0.263,0.416,0.568,0.694,0.877,0.986,1.101
267.11598,-26.97494,6621,B3 IV,6.330,-0.610,-0.540,-0.320,0.070,0.110,0.110,0.200,,,,,
266.61469,27.72068,6623,G5 IV,3.611,0.819,0.726,0.898,0.902,0.329,0.362,0.590,0.759,0.947,0.997,1.089,1.195
